hour, 1, 1, 669
however, 1, 1, 670
human, 13, 4, 671
humanity, 2, 2, 675
hundred, 3, 3, 677
iberian, 1, 1, 680
ibero, 3, 2, 681
iberoamerican, 1, 1, 683
if, 1, 1, 684
immediate, 1, 1, 685
immediately, 1, 1, 686
immunity, 8, 3, 687
implicated, 2, 2, 690
importance, 1, 1, 692
important, 1, 1, 693
impunity, 1, 1, 694
incarnate, 1, 1, 695
incident, 1, 1, 696
include, 1, 1, 697
included, 1, 1, 698
including, 4, 2, 699
independent, 2, 2, 701
indication, 1, 1, 703
influential, 1, 1, 704
informed, 1, 1, 705
insisting, 1, 1, 706
instead, 1, 1, 707
insure, 1, 1, 708
intelligence, 1, 1, 709
international, 8, 4, 710
interpol, 1, 1, 714
interrogate, 1, 1, 715
interview, 2, 2, 716
into, 9, 4, 718
investigating, 4, 3, 722
investigation, 5, 2, 725
investigator, 1, 1, 727
investment, 1, 1, 728
involved, 3, 3, 729
involvement, 3, 3, 732
involving, 2, 1, 735
island, 1, 1, 736
issue, 1, 1, 737
issued, 4, 3, 738
it, 23, 6, 741
jeremy, 1, 1, 747
johnson, 5, 3, 748
joked, 1, 1, 751
jose, 1, 1, 752
juan, 2, 2, 753
judge, 15, 4, 755
judicial, 3, 3, 759
junta, 1, 1, 762
jurisdiction, 1, 1, 763
just, 3, 3, 764
justice, 2, 2, 767
kicking, 1, 1, 769
kidnapped, 2, 1, 770
killing, 4, 1, 771
king, 1, 1, 772
know, 1, 1, 773
known, 2, 1, 774
kodak, 13, 4, 775
labor, 1, 1, 779
lacked, 1, 1, 780
lago, 3, 1, 781
large, 1, 1, 782
last, 1, 1, 783
latin, 2, 2, 784
law, 3, 3, 786
lawmaker, 1, 1, 789
lawyer, 2, 2, 790
lead, 1, 1, 792
leader, 3, 2, 793
leading, 2, 1, 795
learning, 1, 1, 796
least, 1, 1, 797
left, 2, 2, 798
leftist, 2, 1, 800
legal, 5, 3, 801
legally, 1, 1, 804
leopoldo, 1, 1, 805
life, 2, 2, 806
